,Share Capital,"Share Premium_x000D_
",Revaluation Reserves,Statutory Reserves,Retained Earnings,Other Reserves,"Total Equity_x000D_
",Underwriting Provisions,Actuarial Contract Liabilities,LongTerm Liabilities,Current Liabilities,Total Equity And Liabilities,Land And Buildings,Investment Property,Other Fixed Assets,Government Securities,Other Securities,Investment in Related Companies,Corporate Bonds,Commercial Papers,Debentures,Ordinary Shares Quoted,Ordinary Shares Unquoted,Preference Shares Quoted,Preference Shares Unquoted,Loans Secured & Unsecured,Mortgages,Term Deposits,Cash and Cash Balances,Outstanding Premiums,Other Receivables,Other Assets,Intangible Assets,Total Assets,Amounts in thousand Shillings                                                                                                                                                                                               ,years, Amounts in thousand Shillings                                                                                                                                                                                              ,Ordinary Shares UnQuoted,Amounts in thousand Shillings
EAST AFRICA REINSURANCE COMPANY ,1000000.0,0.0,312344.0,0.0,1650744.0,106624.0,3069711.0,2569662.0,0.0,134494.0,1026043.0,6799910.0,540000.0,800000.0,6684.0,2186446.0,0.0,0.0,533574.0,0.0,0.0,93461.0,0.0,0.0,0.0,6758.0,39640.0,1022861.0,65191.0,804256.0,206923.0,107287.0,386830.0,6799910.0,,2017,,,
FIDELITY SHIELD INSURANCE COMPANY ,600000.0,0.0,109028.0,0.0,478844.0,0.0,1187872.0,1779878.0,0.0,0.0,131155.0,3098905.0,275117.0,1126883.0,23141.0,418781.0,0.0,0.0,0.0,0.0,0.0,120404.0,0.0,0.0,0.0,4195.0,12823.0,282356.0,122072.0,506569.0,0.0,121045.0,85520.0,3098905.0,,2017,,,
FIRST ASSURANCE COMPANY ,660000.0,512139.0,249165.0,0.0,462393.0,0.0,1883697.0,1861705.0,0.0,0.0,922314.0,4667716.0,345000.0,1410000.0,46215.0,1337861.0,0.0,0.0,46278.0,0.0,0.0,14054.0,0.0,0.0,0.0,22217.0,0.0,245713.0,54135.0,797835.0,0.0,242328.0,106079.0,4667716.0,,2017,,,
GA GENERAL INSURANCE COMPANY,700000.0,0.0,829766.0,0.0,1846564.0,243536.0,3619866.0,4565549.0,0.0,2134.0,1454643.0,9642192.0,1143000.0,1390757.0,31902.0,2702735.0,0.0,356109.0,291937.0,10000.0,0.0,495883.0,261880.0,0.0,0.0,213605.0,0.0,718747.0,217353.0,1373391.0,10183.0,85141.0,339571.0,9642192.0,,2017,,,
GEMINIA INSURANCE COMPANY LIMITED,550000.0,0.0,578992.0,0.0,643461.0,136608.0,1909060.0,2864807.0,0.0,2292.0,262702.0,5038861.0,18929.0,973000.0,44560.0,890200.0,0.0,86571.0,24300.0,0.0,0.0,170698.0,7371.0,0.0,0.0,159437.0,0.0,968859.0,137112.0,920438.0,19043.0,609729.0,8616.0,5038861.0,,2017,,,
HERITAGE INSURANCE COMPANY ,500000.0,0.0,0.0,0.0,2601771.0,0.0,3101771.0,2965959.0,0.0,0.0,1236078.0,7303808.0,0.0,0.0,87780.0,3279797.0,0.0,146557.0,175124.0,0.0,0.0,334696.0,0.0,0.0,0.0,51200.0,264746.0,742381.0,311870.0,1303112.0,82361.0,473282.0,50901.0,7303808.0,,2017,,,
ICEA LION GENERAL INSURANCE COMPANY ,1000000.0,0.0,365035.0,0.0,2748505.0,150000.0,4263540.0,4426201.0,0.0,484447.0,1052253.0,10226441.0,0.0,2730000.0,130202.0,4642316.0,44700.0,50147.0,259896.0,0.0,0.0,917454.0,12248.0,0.0,0.0,20252.0,0.0,210452.0,13108.0,710342.0,120961.0,136546.0,227816.0,10226441.0,,2017,,,
INTRA-AFRICA ASSURANCE COMPANY ,400000,0,339072,0,110617,10000,859689,864618,0,61448,75507,1861263,136800,301200,19285,238135,0,0,0,0,0,66994,0,0,0,20855,12733,248746,18745,658905,99722,0,39142,1861263,Continued next page,2017,,,
INVESCO ASSURANCE COMPANY ,1925000.0,0.0,345.0,0.0,-1510511.0,0.0,414834.0,2515948.0,0.0,200000.0,221859.0,3352641.0,72622.0,1423480.0,48980.0,177000.0,0.0,0.0,0.0,0.0,0.0,1793.0,625.0,0.0,0.0,0.0,0.0,88394.0,353446.0,412882.0,275502.0,0.0,497916.0,3352641.0,,2017,,,
JUBILEE INSURANCE COMPANY,2000000.0,0.0,204160.0,0.0,4116230.0,1000000.0,7320390.0,5379682.0,0.0,0.0,387354.0,13087425.0,0.0,0.0,65425.0,3301863.0,0.0,1839745.0,14318.0,0.0,0.0,1846042.0,597240.0,432.0,0.0,5312.0,77765.0,914223.0,478281.0,3028585.0,505891.0,101247.0,311057.0,13087425.0,,2017,,,
KENINDIA ASSURANCE COMPANY ,400000.0,1198.0,307534.0,0.0,2045252.0,387375.0,3141359.0,2457186.0,0.0,216401.0,2001500.0,7816446.0,746963.0,1203915.0,68590.0,2496457.0,0.0,81905.0,52780.0,46283.0,0.0,58347.0,547506.0,0.0,0.0,10186.0,0.0,663450.0,14328.0,479231.0,0.0,1295992.0,50513.0,7816446.0,,2017,,,
KENYA ORIENT INSURANCE COMPANY ,810721.0,0.0,55679.0,0.0,-144987.0,50000.0,771413.0,1496449.0,0.0,94040.0,100066.0,2461968.0,141500.0,533823.0,38781.0,149024.0,0.0,170000.0,5254.0,0.0,0.0,8338.0,646137.0,0.0,0.0,0.0,0.0,57854.0,10675.0,313012.0,41708.0,217698.0,128163.0,2461968.0,,2017,,,
KENYA REINSURANCE CORPORATION,1749873.0,0.0,15317.0,0.0,21008791.0,667309.0,23441290.0,10100726.0,0.0,0.0,334718.0,33876734.0,23000.0,8031800.0,56962.0,12388785.0,0.0,4587101.0,482696.0,0.0,0.0,1798691.0,202231.0,89.0,0.0,0.0,658423.0,212723.0,148448.0,3759717.0,292356.0,-287121.0,1520832.0,33876734.0,,2017,,,
MADISON INSURANCE COMPANY,300000.0,0.0,0.0,0.0,824887.0,0.0,1124887.0,2660815.0,0.0,0.0,195164.0,3980866.0,0.0,898000.0,56286.0,653013.0,0.0,0.0,16588.0,0.0,0.0,1969.0,363359.0,0.0,0.0,0.0,0.0,476219.0,36663.0,1013031.0,220384.0,24071.0,221284.0,3980866.0,,2017,,,
MAYFAIR INSURANCE COMPANY ,750000.0,0.0,429564.0,0.0,905425.0,150000.0,2234989.0,1933666.0,0.0,0.0,366033.0,4534689.0,226761.0,460458.0,76135.0,730458.0,0.0,454875.0,98895.0,0.0,0.0,197161.0,608280.0,0.0,0.0,14065.0,0.0,1062042.0,14572.0,473263.0,0.0,106573.0,11150.0,4534689.0,,2017,,,
OCCIDENTAL INSURANCE COMPANY ,693000.0,0.0,15124.0,0.0,401758.0,12474.0,1122356.0,1933366.0,0.0,11782.0,299490.0,3366994.0,0.0,531000.0,46144.0,1201394.0,0.0,0.0,14675.0,0.0,0.0,131380.0,100825.0,0.0,0.0,0.0,0.0,135022.0,52747.0,952256.0,27994.0,41968.0,131589.0,3366994.0,,2017,,,
PACIS INSURANCE COMPANY ,534605.0,17712.0,0.0,0.0,408138.0,-477.0,959977.0,1120376.0,0.0,0.0,232757.0,2313109.0,113850.0,730000.0,29475.0,224955.0,0.0,0.0,0.0,0.0,0.0,19545.0,65221.0,0.0,0.0,0.0,0.0,111720.0,19300.0,864717.0,0.0,61010.0,73315.0,2313109.0,,2017,,,
PHOENIX OF EAST AFRICA ASSURANCE ,300000,0,2532,0,695447,0,997979,413139,0,0,115996,1527113,0,0,22375,576849,0,143807,0,0,0,3591,0,0,0,2158,0,81570,25542,382533,58735,190727,39226,1527113,,2017, Continued next page,,
PIONEER GENERAL INSURANCE ,600000.0,0.0,0.0,0.0,3143.0,0.0,603143.0,203240.0,0.0,0.0,239972.0,1046355.0,0.0,0.0,3367.0,38008.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1159.0,0.0,723506.0,38762.0,181761.0,23213.0,381.0,36198.0,1046355.0,,2017,,,
RESOLUTION  INSURANCE COMPANY,410000.0,990000.0,-2040.0,0.0,-1712351.0,0.0,-314391.0,1644457.0,0.0,0.0,2041777.0,3371844.0,0.0,0.0,139383.0,254081.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,352306.0,67209.0,800076.0,821407.0,650385.0,286998.0,3371844.0,,2017,,,
SAHAM INSURANCE COMPANY,402000.0,0.0,-2178.0,0.0,228268.0,0.0,628090.0,752841.0,0.0,0.0,563133.0,1944065.0,0.0,0.0,9298.0,582775.0,0.0,0.0,76160.0,0.0,0.0,33808.0,,0.0,0.0,0.0,0.0,480052.0,94343.0,469958.0,589.0,94835.0,102247.0,1944065.0,,2017,,0.0,
SANLAM INSURANCE COMPANY,788600.0,102760.0,77618.0,0.0,-205454.0,0.0,763524.0,1613549.0,0.0,0.0,312297.0,2689370.0,0.0,1056700.0,19123.0,388910.0,0.0,0.0,20000.0,0.0,0.0,691.0,,0.0,0.0,8022.0,0.0,78210.0,61348.0,624143.0,-2604.0,310446.0,20279.0,2689370.0,,2017,,104103.0,
TAKAFUL INSURANCE OF AFRICA ,470203.0,50000.0,0.0,0.0,-136224.0,0.0,383979.0,835432.0,0.0,40000.0,321289.0,1580700.0,0.0,21100.0,29932.0,32907.0,0.0,0.0,56769.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,458370.0,85924.0,244718.0,0.0,560501.0,90480.0,1580700.0,,2017,,0.0,
TAUSI ASSURANCE COMPANY,600000.0,0.0,174111.0,0.0,552348.0,7508.0,1333967.0,723024.0,0.0,62656.0,127539.0,2247186.0,303500.0,0.0,17310.0,977883.0,0.0,0.0,0.0,14446.0,0.0,229816.0,,0.0,0.0,8850.0,139354.0,363281.0,22536.0,88599.0,0.0,24899.0,49673.0,2247186.0,,2017,,7039.0,
THE KENYAN ALLIANCE INSURANCE COMPANY,300000.0,0.0,2750.0,0.0,1092028.0,1679.0,1396458.0,1241311.0,0.0,58991.0,428218.0,3124977.0,0.0,1060349.0,46062.0,332094.0,0.0,0.0,27090.0,0.0,0.0,24679.0,,0.0,0.0,205911.0,0.0,251844.0,29107.0,801326.0,150590.0,79267.0,64023.0,3124977.0,,2017,,52635.0,
THE MONARCH INSURANCE COMPANY,316476.0,0.0,0.0,0.0,111277.0,0.0,427753.0,973182.0,0.0,0.0,57475.0,1458410.0,0.0,414441.0,18025.0,95583.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,126331.0,72798.0,624020.0,3250.0,41734.0,62171.0,1458410.0,,2017,,59.0,
TRIDENT INSURANCE COMPANY ,500000.0,0.0,192586.0,0.0,1333242.0,25000.0,2050828.0,1738389.0,0.0,56351.0,535613.0,4381181.0,240660.0,1716399.0,10838.0,239061.0,20193.0,615600.0,20000.0,0.0,0.0,6220.0,,0.0,0.0,1000522.0,0.0,98589.0,8092.0,261730.0,31936.0,33553.0,69803.0,4381181.0,,2017,,7985.0,
UAP INSURANCE COMPANY ,1000000.0,0.0,0.0,0.0,4685317.0,2084043.0,7769361.0,6654904.0,0.0,0.0,1170227.0,15594492.0,0.0,3711700.0,44349.0,3842735.0,0.0,0.0,715752.0,0.0,0.0,1366087.0,,0.0,0.0,1165129.0,291833.0,729959.0,514569.0,1646061.0,957041.0,227780.0,319499.0,15594492.0,,2017,,61997.0,
XPLICO INSURANCE COMPANY ,887500.0,0.0,19670.0,0.0,223121.0,220000.0,1350291.0,645741.0,0.0,0.0,289564.0,2285596.0,0.0,657300.0,111800.0,86700.0,103000.0,245251.0,0.0,0.0,0.0,0.0,,0.0,0.0,19784.0,0.0,214108.0,75562.0,507252.0,152983.0,81486.0,30372.0,2285596.0,,2017,,0.0,
TOTAL,31557324.0,2670372.0,4189054.0,0.0,55660668.0,5873505.0,99950921.0,101937748.0,0.0,2044426.0,22277747.0,226210844.0,5822803.0,37544805.0,2213704.0,67070350.0,463077.0,9426893.0,4154497.0,111306.0,0.0,10701499.0,,521.0,0.0,3146501.0,1775917.0,17443988.0,6338742.0,33212388.0,4840535.0,10889096.0,7099066.0,226210844.0,,2017,,3955162.0,
Unnamed: 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017,,,
Longterm,11663942.0,4230298.0,1121012.0,19600825.0,-78123.0,10766130.0,47304081.0,5693390.0,291451528.0,8857867.0,11435615.0,364742486.0,2895478.0,41568005.0,1270382.0,190410956.0,10861225.0,5705840.0,9893069.0,269792.0,0.0,34302283.0,,0.0,0.0,4669209.0,2649700.0,22220462.0,3617116.0,5956346.0,2581007.0,18604962.0,1812056.0,364742486.0,,2017,,5454599.0,
general,31557324.0,2670372.0,4189054.0,0.0,55660668.0,5873505.0,99950921.0,101937748.0,0.0,2044426.0,22277747.0,226210844.0,5822803.0,37544805.0,2213704.0,67070350.0,463077.0,9426893.0,4154497.0,111306.0,0.0,10701499.0,,521.0,0.0,3146501.0,1775917.0,17443988.0,6338742.0,33212388.0,4840535.0,10889096.0,7099066.0,226210844.0,,2017,,3955162.0,
industry,43221266.0,6900670.0,5310066.0,19600825.0,55582545.0,16639635.0,147255002.0,107631138.0,291451528.0,10902293.0,33713362.0,590953330.0,8718281.0,79112810.0,3484086.0,257481306.0,11324302.0,15132733.0,14047566.0,381098.0,0.0,45003782.0,,521.0,0.0,7815710.0,4425617.0,39664450.0,9955858.0,39168734.0,7421542.0,29494058.0,8911122.0,590953330.0,,2017,,9409761.0,
Unnamed: 16,,,,,,,,,,,,investments,483799656,,,,,,,,,,,,,,,,,,,,,,,2017,,,
